product_name,price_usd,rating,number_of_reviews,gender_target,cruelty_free,country_of_origin,gender_id,country_id
Ultra Blush,107.31,4.9,1324,Male,False,Germany,2,3
Super Concealer,96.05,3.8,3736,Unisex,False,Italy,3,4
Magic Eyeliner,53.73,3.9,4547,Female,False,UK,1,7
Magic Setting Spray,55.27,4.3,1427,Male,False,Japan,2,5
Perfect Moisturizer,137.97,4.3,7625,Unisex,False,Australia,3,1
Ultra Lip Gloss,137.65,4.9,5849,Female,True,France,1,2
Divine CC Cream,120.25,4.0,3888,Female,True,UK,1,7
Perfect Eye Shadow,138.44,2.4,695,Unisex,False,USA,3,8
Divine Makeup Remover,49.38,2.6,5296,Unisex,True,South Korea,3,6
Perfect Lipstick,32.39,1.8,1937,Female,False,Japan,1,5
Divine Bronzer,115.06,4.4,3481,Female,False,UK,1,7
Magic Highlighter,39.28,2.7,2782,Male,False,UK,2,7
Divine Face Oil,110.93,1.5,4298,Female,False,South Korea,1,6
Ultra Contour,98.56,1.5,5731,Unisex,True,Australia,3,1
Perfect Makeup Remover,98.95,1.8,5060,Female,True,Australia,1,1
Super Foundation,60.96,3.3,1214,Male,True,UK,2,7
Perfect Face Mask,18.4,3.9,1502,Female,False,Australia,1,1
Ultra Eyeliner,103.89,1.1,1297,Female,False,South Korea,1,6
Perfect Blush,133.23,1.1,66,Male,True,USA,2,8
Super BB Cream,132.62,4.1,2374,Male,True,USA,2,8
Ultra BB Cream,116.26,1.6,8677,Unisex,False,USA,3,8
Divine Lip Liner,29.57,4.2,1232,Female,False,USA,1,8
Ultra Serum,79.38,4.1,6575,Unisex,False,Italy,3,4
Perfect Exfoliator,48.2,4.6,5949,Male,True,Italy,2,4
Magic Face Oil,97.06,1.3,3250,Unisex,False,Germany,3,3
Ultra Foundation,106.39,2.1,1199,Male,True,France,2,2
Divine BB Cream,76.51,4.7,9035,Unisex,True,France,3,2
Super Mascara,36.62,1.9,1812,Female,False,South Korea,1,6
Ultra CC Cream,87.78,2.2,1164,Female,True,UK,1,7
Ultra BB Cream,116.61,2.9,1172,Unisex,False,Australia,3,1
Super Face Oil,104.16,3.7,2133,Male,True,Italy,2,4
Magic Eye Shadow,33.41,3.5,3405,Female,True,Japan,1,5
Perfect Exfoliator,78.83,3.6,3536,Male,False,Italy,2,4
Magic Eyeliner,82.46,4.0,8970,Female,False,USA,1,8
Magic Setting Spray,146.47,3.2,8252,Unisex,True,USA,3,8
Super Setting Spray,100.46,4.3,9026,Male,True,South Korea,2,6
Perfect Setting Spray,40.72,2.6,2383,Female,True,France,1,2
Perfect Lip Liner,94.9,1.2,2643,Female,True,Germany,1,3
Magic Mascara,44.79,3.1,6635,Female,False,Germany,1,3
Divine CC Cream,51.56,1.0,3174,Unisex,False,Japan,3,5
Perfect Eye Shadow,104.38,1.5,7965,Female,False,South Korea,1,6
Magic Eye Shadow,86.65,3.7,689,Unisex,False,Italy,3,4
Ultra Makeup Remover,55.33,2.0,5799,Unisex,True,Japan,3,5
Divine Concealer,84.8,4.8,177,Male,True,UK,2,7
Perfect Powder,116.11,4.7,5837,Female,True,South Korea,1,6
Perfect Face Oil,118.42,2.1,768,Unisex,False,USA,3,8
Divine Concealer,82.43,3.2,5311,Male,False,Japan,2,5
Ultra Setting Spray,90.82,3.9,8061,Male,False,Japan,2,5
Magic Eyeliner,136.78,5.0,7174,Unisex,True,Australia,3,1
Divine Exfoliator,49.2,3.4,7866,Unisex,True,France,3,2
Magic Highlighter,33.69,1.7,9821,Unisex,False,USA,3,8
Magic Blush,67.74,4.8,1979,Unisex,False,USA,3,8
Magic Cleanser,108.17,4.1,8803,Male,False,South Korea,2,6
Magic Concealer,45.14,1.3,548,Male,True,France,2,2
Magic Makeup Remover,50.61,4.8,2676,Male,False,South Korea,2,6
Perfect Setting Spray,131.72,3.4,3956,Female,True,Germany,1,3
Divine Primer,22.53,1.8,9019,Unisex,False,USA,3,8
Magic Setting Spray,32.28,2.7,5337,Male,False,Italy,2,4
Super Setting Spray,18.59,4.5,5429,Unisex,True,France,3,2
Magic Face Mask,124.55,3.4,9572,Unisex,False,UK,3,7
Super Moisturizer,13.59,3.4,7261,Unisex,False,Germany,3,3
Perfect Powder,47.3,4.5,7549,Unisex,True,Italy,3,4
Divine Setting Spray,24.69,2.9,668,Female,True,Japan,1,5
Magic Mascara,144.25,4.2,4667,Male,False,South Korea,2,6
Divine Lip Gloss,128.25,1.5,1829,Male,True,Japan,2,5
Ultra Face Mask,55.85,1.5,795,Female,False,France,1,2
Super Lip Gloss,25.23,1.5,3999,Female,True,USA,1,8
Super Face Mask,145.69,4.7,3264,Unisex,True,France,3,2
Super Makeup Remover,80.46,2.1,391,Unisex,True,USA,3,8
Magic Mascara,34.56,1.4,762,Unisex,True,Germany,3,3
Magic Makeup Remover,80.15,2.0,9154,Male,True,Australia,2,1
Ultra Mascara,82.07,2.6,5480,Unisex,False,South Korea,3,6
Ultra Setting Spray,143.88,4.5,5531,Unisex,True,South Korea,3,6
Divine Eye Shadow,102.77,1.3,4159,Unisex,False,France,3,2
Ultra Concealer,50.15,1.4,8016,Unisex,True,Japan,3,5
Divine Mascara,104.94,1.7,6132,Female,True,Germany,1,3
Ultra Mascara,115.34,3.6,7521,Male,False,Germany,2,3
Ultra Exfoliator,61.8,1.8,8262,Unisex,False,USA,3,8
Magic Moisturizer,100.91,3.7,9202,Female,False,South Korea,1,6
Divine Contour,18.43,3.4,2992,Male,True,UK,2,7
Ultra Eye Shadow,80.4,3.1,7247,Female,True,UK,1,7
Perfect Serum,37.21,4.7,7527,Male,True,South Korea,2,6
Perfect Mascara,136.12,3.2,3570,Male,True,UK,2,7
Magic Makeup Remover,65.42,2.7,8565,Male,True,Italy,2,4
Magic Lip Liner,84.63,4.1,8659,Unisex,False,Germany,3,3
Divine Mascara,68.97,2.7,8762,Female,True,South Korea,1,6
Divine Eye Shadow,76.18,1.4,2366,Unisex,True,South Korea,3,6
Magic Mascara,135.43,1.9,3592,Male,True,Italy,2,4
Super Lipstick,78.49,2.9,1224,Male,False,Italy,2,4
Super Primer,134.93,1.6,4061,Male,True,Japan,2,5
Super Face Oil,106.91,2.3,4981,Unisex,True,Australia,3,1
Divine Mascara,111.93,3.1,8189,Female,True,UK,1,7
Super Eyeliner,61.16,3.4,8147,Unisex,True,USA,3,8
Ultra Highlighter,46.87,4.3,3313,Female,True,South Korea,1,6
Magic Eyeliner,28.83,3.2,2334,Unisex,False,South Korea,3,6
Ultra Contour,43.3,5.0,239,Unisex,True,South Korea,3,6
Perfect Face Oil,92.8,4.0,988,Female,True,Japan,1,5
Perfect Blush,137.85,1.2,1181,Unisex,True,USA,3,8
Super BB Cream,110.83,4.8,2036,Female,False,UK,1,7
Magic Contour,77.32,3.4,9581,Female,True,Japan,1,5
Magic Setting Spray,33.12,2.4,8034,Male,False,South Korea,2,6
Magic Setting Spray,81.24,3.8,7128,Unisex,False,UK,3,7
Ultra Foundation,141.94,2.7,8274,Male,False,Australia,2,1
Ultra Moisturizer,91.45,2.9,4579,Female,True,Italy,1,4
Magic Setting Spray,100.41,3.4,3122,Unisex,True,France,3,2
Magic CC Cream,38.8,1.6,6173,Female,False,Japan,1,5
Divine Face Oil,104.02,4.2,1164,Male,False,USA,2,8
Magic Moisturizer,106.82,2.0,5041,Unisex,False,South Korea,3,6
Divine Eyeliner,146.9,1.4,5935,Unisex,False,UK,3,7
Perfect Lip Gloss,50.29,1.0,6974,Male,False,Italy,2,4
Magic Mascara,68.65,4.7,4600,Female,True,UK,1,7
Super Eye Shadow,143.05,4.4,2829,Unisex,False,Australia,3,1
Ultra Blush,122.31,2.3,5073,Female,False,South Korea,1,6
Perfect Setting Spray,30.66,4.9,1271,Male,False,Australia,2,1
Divine Lip Liner,61.93,1.6,3654,Male,True,South Korea,2,6
Super Powder,47.52,1.3,4395,Female,False,Germany,1,3
Ultra CC Cream,111.07,3.0,632,Unisex,True,Germany,3,3
Ultra Face Mask,88.05,3.8,3347,Female,True,Australia,1,1
Super Moisturizer,29.62,2.0,4237,Female,True,USA,1,8
Magic Eyeliner,35.08,4.3,6449,Unisex,True,Italy,3,4
Divine Bronzer,80.19,4.7,2723,Female,False,Japan,1,5
Magic Bronzer,111.4,3.3,8877,Male,True,Japan,2,5
Ultra Concealer,96.19,3.9,1056,Unisex,True,USA,3,8
Magic Serum,129.28,2.5,9092,Female,False,Germany,1,3
Super Moisturizer,76.0,2.9,7008,Male,True,Italy,2,4
Magic Face Mask,46.29,1.7,6653,Female,False,Germany,1,3
Super Lip Gloss,91.61,1.5,1402,Female,True,France,1,2
Divine Highlighter,127.55,3.1,1201,Male,False,USA,2,8
Magic Bronzer,145.7,4.1,4675,Male,False,France,2,2
Magic Powder,130.5,4.1,3096,Male,True,Germany,2,3
Divine Bronzer,13.47,3.6,900,Female,False,Japan,1,5
Perfect Setting Spray,49.77,2.3,930,Male,True,Australia,2,1
Magic Lipstick,44.54,2.9,5939,Male,False,France,2,2
Ultra Contour,63.57,3.6,523,Unisex,True,South Korea,3,6
Ultra Highlighter,87.87,3.4,4303,Male,True,UK,2,7
Ultra Exfoliator,71.47,2.1,4787,Female,False,Japan,1,5
Perfect Blush,44.25,3.3,6745,Male,True,UK,2,7
Ultra Mascara,58.88,4.8,9196,Unisex,True,South Korea,3,6
Divine Cleanser,80.57,3.5,9393,Unisex,True,France,3,2
Super Contour,107.42,2.0,8982,Male,False,Australia,2,1
Super Setting Spray,79.49,4.5,5884,Unisex,True,Germany,3,3
Super Makeup Remover,78.52,1.7,563,Female,False,Australia,1,1
Magic Powder,93.67,1.7,5974,Male,False,UK,2,7
Magic Face Mask,115.93,4.7,536,Male,False,UK,2,7
Magic Highlighter,21.44,3.0,6297,Female,False,Japan,1,5
Ultra Mascara,96.22,1.9,9580,Unisex,True,Germany,3,3
Divine Exfoliator,48.32,3.3,2479,Unisex,True,France,3,2
Divine Highlighter,23.57,2.5,7881,Male,True,USA,2,8
Magic Setting Spray,61.98,3.1,4012,Unisex,True,South Korea,3,6
Super CC Cream,137.61,1.5,2464,Female,False,USA,1,8
Super Setting Spray,86.46,4.5,5790,Female,True,Australia,1,1
Super Exfoliator,44.95,4.2,4687,Unisex,True,France,3,2
Magic Face Mask,89.08,3.7,7184,Unisex,False,Australia,3,1
Ultra Cleanser,82.76,4.6,2774,Male,True,UK,2,7
Divine Eyeliner,76.88,3.5,4590,Unisex,True,Japan,3,5
Divine Powder,35.3,2.3,5097,Female,True,Germany,1,3
Divine CC Cream,146.64,3.7,9402,Male,False,UK,2,7
Ultra BB Cream,99.33,5.0,349,Unisex,False,USA,3,8
Magic Face Oil,61.66,4.7,3050,Female,False,Australia,1,1
Super Eye Shadow,88.39,3.3,7869,Female,True,Japan,1,5
Super Foundation,44.24,2.8,4477,Female,False,Japan,1,5
Magic Bronzer,21.81,1.1,5599,Unisex,False,USA,3,8
Perfect Blush,11.37,2.3,5069,Unisex,True,Japan,3,5
Magic Face Oil,118.05,3.8,8634,Unisex,True,Italy,3,4
Ultra Eyeliner,46.42,2.0,3317,Unisex,False,USA,3,8
Super Lipstick,16.07,4.8,691,Male,False,Germany,2,3
Divine Contour,33.49,1.6,6014,Unisex,True,South Korea,3,6
Divine Lip Gloss,32.07,1.6,9402,Female,False,USA,1,8
Divine Highlighter,64.34,2.4,3991,Female,True,Japan,1,5
Magic Foundation,48.34,4.3,1992,Unisex,True,USA,3,8
Ultra Blush,86.81,3.5,9636,Unisex,False,Germany,3,3
Magic BB Cream,40.26,4.6,8967,Male,False,USA,2,8
Magic Mascara,105.75,2.4,5923,Female,False,Italy,1,4
Ultra Primer,109.42,2.3,9770,Unisex,False,South Korea,3,6
Perfect Face Oil,17.44,1.6,6926,Male,False,France,2,2
Super Eye Shadow,69.52,3.0,4256,Female,True,South Korea,1,6
Ultra Powder,91.94,2.7,4392,Male,False,Italy,2,4
Divine Blush,52.74,3.8,3052,Male,False,Germany,2,3
Magic Face Oil,58.83,3.5,6503,Female,False,Germany,1,3
Super Exfoliator,28.25,2.8,1549,Female,False,South Korea,1,6
Super Face Mask,102.22,4.2,6476,Male,True,South Korea,2,6
Perfect Concealer,105.7,2.1,9882,Female,True,Japan,1,5
Divine Face Mask,110.33,3.6,5012,Male,True,Germany,2,3
Divine Concealer,144.53,1.1,2513,Male,True,Germany,2,3
Ultra Mascara,112.42,3.3,3381,Unisex,True,Germany,3,3
Ultra Eye Shadow,97.32,4.2,2174,Unisex,False,France,3,2
Divine CC Cream,120.42,2.2,9005,Unisex,True,South Korea,3,6
Perfect Bronzer,38.49,1.7,8316,Female,True,Italy,1,4
Super Lip Gloss,96.72,2.1,2088,Male,False,Germany,2,3
Divine Moisturizer,63.41,2.7,4825,Male,False,Australia,2,1
Magic CC Cream,114.42,4.9,5123,Unisex,False,Germany,3,3
Perfect Lipstick,68.11,2.9,2824,Unisex,False,USA,3,8
Super Setting Spray,127.48,4.0,1063,Male,True,France,2,2
Perfect Lip Liner,112.76,4.7,4808,Male,True,Australia,2,1
Divine BB Cream,139.64,4.8,4305,Unisex,False,South Korea,3,6
Perfect Face Oil,27.53,1.7,175,Male,True,Australia,2,1
Divine Foundation,62.7,3.9,1996,Male,False,Australia,2,1
Divine Exfoliator,45.62,2.7,2535,Female,True,France,1,2
Perfect Primer,68.88,1.1,3129,Female,True,Italy,1,4
Divine Cleanser,24.68,4.4,2803,Male,True,UK,2,7
Ultra BB Cream,134.54,2.4,3186,Female,False,USA,1,8
Perfect Lipstick,128.95,3.7,8785,Female,False,Italy,1,4
Perfect Lip Liner,69.41,1.1,2730,Male,False,Australia,2,1
Super Setting Spray,137.05,3.7,2346,Unisex,True,Australia,3,1
Perfect Mascara,71.79,2.2,7846,Male,False,France,2,2
Ultra Highlighter,84.53,4.0,7324,Male,False,South Korea,2,6
Super Blush,94.31,4.2,7260,Female,True,Australia,1,1
Divine Setting Spray,84.52,4.3,4491,Male,True,Germany,2,3
Ultra Blush,145.27,1.1,3139,Female,True,USA,1,8
Divine Powder,111.99,4.7,9602,Unisex,True,Italy,3,4
Super Cleanser,40.26,1.5,5072,Female,True,UK,1,7
Divine Blush,139.29,1.9,3501,Female,True,France,1,2
Perfect Contour,28.84,3.7,9317,Male,True,UK,2,7
Magic Foundation,21.89,3.7,5073,Male,False,Italy,2,4
Magic Eyeliner,47.11,1.3,8263,Male,True,South Korea,2,6
Perfect Lip Gloss,146.52,2.5,5614,Female,True,UK,1,7
Perfect Makeup Remover,87.98,4.5,7933,Female,False,Italy,1,4
Super Highlighter,126.76,2.7,3536,Unisex,True,Italy,3,4
Magic Concealer,84.11,4.1,9343,Female,False,Italy,1,4
Super Eye Shadow,50.89,3.4,4743,Male,True,Germany,2,3
Magic BB Cream,13.42,1.2,6436,Unisex,True,UK,3,7
Ultra Lipstick,49.01,3.0,7460,Female,True,USA,1,8
Divine Eye Shadow,54.25,2.9,9935,Male,False,Australia,2,1
Super Lipstick,38.5,4.2,2997,Male,True,France,2,2
Perfect Blush,80.34,1.7,7271,Male,True,Japan,2,5
Super Blush,143.9,3.2,3689,Female,False,UK,1,7
Perfect CC Cream,124.27,4.0,5762,Unisex,False,Japan,3,5
Perfect Lip Gloss,110.96,4.5,2497,Female,True,USA,1,8
Super Lip Gloss,49.69,1.6,2800,Unisex,False,France,3,2
Ultra BB Cream,142.49,1.5,3227,Male,True,UK,2,7
Perfect Concealer,76.08,2.1,1091,Unisex,False,France,3,2
Magic CC Cream,80.86,1.5,1926,Unisex,True,Germany,3,3
Ultra Exfoliator,139.04,2.2,7069,Female,False,Japan,1,5
Super Eyeliner,105.63,4.7,7542,Female,True,UK,1,7
Magic Foundation,104.36,1.6,4145,Male,True,USA,2,8
Magic Concealer,121.21,1.7,6449,Female,True,South Korea,1,6
Super Setting Spray,111.62,2.5,7321,Unisex,True,South Korea,3,6
Perfect Eye Shadow,38.99,4.5,3989,Male,True,Italy,2,4
Divine Foundation,55.05,2.2,2478,Female,True,South Korea,1,6
Super Serum,128.59,1.2,2044,Male,False,Japan,2,5
Divine Face Oil,52.38,2.4,5119,Unisex,True,USA,3,8
Perfect Lipstick,61.22,3.8,6814,Male,False,Australia,2,1
Perfect Setting Spray,133.45,3.8,6070,Female,True,Australia,1,1
Magic Mascara,61.13,3.8,1337,Female,True,USA,1,8
Divine Bronzer,136.32,3.3,6857,Unisex,False,USA,3,8
Super Powder,65.63,1.4,7086,Female,True,Japan,1,5
Super Powder,11.0,1.2,9548,Male,True,USA,2,8
Magic Foundation,88.35,1.6,2166,Female,True,South Korea,1,6
Divine Serum,36.57,5.0,1659,Unisex,True,Japan,3,5
Ultra Serum,93.39,1.3,1645,Unisex,False,Japan,3,5
Perfect Cleanser,92.56,3.1,7926,Unisex,True,Italy,3,4
Magic Blush,45.56,2.0,7374,Male,True,USA,2,8
Ultra Mascara,16.47,2.5,1947,Female,False,Germany,1,3
Divine Serum,50.41,3.5,4983,Male,False,Australia,2,1
Super Lip Liner,127.45,3.7,8702,Female,True,Japan,1,5
Ultra Eyeliner,123.94,1.4,466,Female,True,Italy,1,4
Divine Contour,99.23,3.5,8307,Female,True,Australia,1,1
Magic Blush,43.88,3.6,239,Male,True,South Korea,2,6
Divine Face Oil,69.08,1.8,4352,Unisex,True,South Korea,3,6
Ultra Highlighter,116.1,2.8,1633,Unisex,False,Australia,3,1
Magic Serum,126.6,1.7,9690,Unisex,True,Germany,3,3
Divine Serum,106.04,1.8,5068,Male,True,France,2,2
Super Bronzer,11.04,4.2,4006,Unisex,True,Germany,3,3
Magic Bronzer,41.14,2.5,2134,Female,True,Italy,1,4
Divine Concealer,39.28,1.3,1109,Female,False,UK,1,7
Magic Eye Shadow,17.72,4.0,7243,Unisex,False,USA,3,8
Ultra Primer,138.32,3.4,4612,Female,False,Italy,1,4
Ultra Moisturizer,104.59,1.8,2307,Unisex,True,USA,3,8
Ultra Lip Gloss,139.83,5.0,3681,Female,True,Germany,1,3
Ultra Contour,103.36,4.1,4794,Female,True,South Korea,1,6
Perfect Bronzer,80.95,4.0,319,Unisex,False,USA,3,8
Perfect Eyeliner,75.27,1.1,8061,Female,True,France,1,2
Super Eye Shadow,23.01,5.0,2583,Female,True,France,1,2
Magic Face Oil,75.32,4.6,7639,Unisex,False,France,3,2
Perfect Makeup Remover,69.69,1.1,9546,Female,False,USA,1,8
Perfect Bronzer,68.13,2.7,2491,Unisex,False,Japan,3,5
Super Moisturizer,12.22,4.3,7544,Female,False,Italy,1,4
Super CC Cream,123.04,2.7,9032,Unisex,False,Germany,3,3
Magic Makeup Remover,135.29,1.7,9471,Male,False,Japan,2,5
Magic Powder,91.71,3.9,3430,Female,True,Germany,1,3
Divine Mascara,100.11,4.6,852,Male,True,South Korea,2,6
Perfect Bronzer,54.13,1.3,3681,Male,True,Germany,2,3
Perfect Powder,142.4,1.0,2037,Male,False,Germany,2,3
Ultra Mascara,141.69,3.7,3808,Female,False,Germany,1,3
Ultra Primer,13.11,3.3,3599,Female,True,USA,1,8
Ultra Lipstick,35.04,3.0,7248,Female,False,Australia,1,1
Divine Powder,49.61,2.0,7882,Male,True,Japan,2,5
Perfect Face Mask,70.82,3.6,3462,Male,True,South Korea,2,6
Ultra Powder,73.14,3.0,7172,Male,False,USA,2,8
Super Cleanser,70.57,2.0,7430,Unisex,False,USA,3,8
Perfect Primer,139.45,1.0,6260,Unisex,False,USA,3,8
Ultra Cleanser,81.76,1.2,8055,Female,True,France,1,2
Divine Lip Gloss,122.28,3.6,566,Female,True,Italy,1,4
Ultra Lip Gloss,96.0,2.7,9912,Unisex,False,USA,3,8
Ultra CC Cream,121.81,4.8,9696,Male,False,Germany,2,3
Magic Makeup Remover,100.44,4.6,4545,Unisex,True,UK,3,7
Super Setting Spray,109.73,3.9,259,Male,True,France,2,2
Perfect Face Oil,116.08,3.7,2699,Unisex,False,France,3,2
Divine Lipstick,117.03,1.6,1463,Male,False,Japan,2,5
Ultra Eyeliner,35.8,3.0,1519,Unisex,False,Italy,3,4
Magic Mascara,76.03,4.3,891,Female,True,UK,1,7
Super Moisturizer,98.06,4.7,7277,Unisex,False,Italy,3,4
Divine Lip Gloss,73.61,3.1,8676,Male,True,France,2,2
Super Moisturizer,76.2,2.0,3048,Male,True,UK,2,7
Divine Makeup Remover,17.46,3.7,1451,Female,False,UK,1,7
Divine Mascara,42.39,1.1,9958,Female,False,Germany,1,3
Divine Eyeliner,140.93,1.5,7590,Male,True,Australia,2,1
Ultra Lipstick,124.37,2.8,8479,Unisex,True,USA,3,8
Ultra Mascara,13.84,1.9,7371,Unisex,True,Germany,3,3
Divine Foundation,147.66,3.3,5008,Female,False,Germany,1,3
Perfect Cleanser,84.18,3.9,6049,Female,False,USA,1,8
Magic Mascara,113.48,2.9,9905,Unisex,False,South Korea,3,6
Ultra Eye Shadow,135.26,3.6,4804,Male,False,France,2,2
Ultra Powder,40.48,2.7,2719,Female,True,UK,1,7
Perfect Lip Liner,15.93,2.2,3204,Female,False,Germany,1,3
Perfect Face Oil,149.26,1.8,9921,Male,True,France,2,2
Perfect Concealer,35.06,2.0,6214,Male,False,USA,2,8
Perfect Eye Shadow,18.26,3.4,9601,Unisex,False,South Korea,3,6
Divine Serum,68.71,3.2,8166,Unisex,False,France,3,2
Super Concealer,13.46,3.1,2723,Female,True,Germany,1,3
Magic Mascara,128.11,1.2,2687,Male,True,South Korea,2,6
Divine Eye Shadow,65.59,4.1,8094,Female,False,Italy,1,4
Perfect Moisturizer,142.03,3.4,2606,Female,True,Australia,1,1
Magic Setting Spray,27.23,3.7,1339,Unisex,False,France,3,2
Divine Primer,25.95,4.6,7405,Male,False,Australia,2,1
Perfect Lipstick,26.64,3.1,9966,Unisex,False,UK,3,7
Perfect Exfoliator,61.58,2.5,3998,Unisex,False,France,3,2
Ultra Face Mask,101.99,2.4,2819,Male,True,Japan,2,5
Ultra Lip Gloss,40.46,2.6,5295,Unisex,True,UK,3,7
Magic Makeup Remover,118.24,4.5,1426,Male,False,Italy,2,4
Ultra Setting Spray,59.8,1.5,7416,Male,True,Germany,2,3
Perfect Face Mask,49.66,1.3,7006,Unisex,True,South Korea,3,6
Ultra Lipstick,128.34,1.7,826,Male,True,South Korea,2,6
Perfect Lip Gloss,135.1,3.1,3813,Male,False,USA,2,8
Ultra Bronzer,142.08,1.5,4569,Female,True,Japan,1,5
Ultra Makeup Remover,43.04,1.3,8547,Female,True,Italy,1,4
Magic Foundation,109.49,1.2,2413,Male,True,France,2,2
Super Eyeliner,12.27,3.8,2014,Unisex,True,France,3,2
Perfect Face Mask,35.39,2.5,2951,Female,False,Japan,1,5
Super Contour,106.94,4.3,1793,Female,False,Australia,1,1
Divine Primer,138.9,2.8,2055,Male,True,USA,2,8
Perfect Face Mask,120.33,4.2,8708,Unisex,True,Australia,3,1
Magic Setting Spray,29.36,1.7,6206,Unisex,True,USA,3,8
Ultra Lipstick,132.97,2.7,8462,Male,False,France,2,2
Magic CC Cream,146.01,3.0,3003,Male,False,UK,2,7
Ultra Bronzer,135.94,2.6,4745,Unisex,True,Australia,3,1
Divine Lip Liner,118.22,1.2,9613,Female,True,France,1,2
Divine Setting Spray,137.98,3.8,1245,Male,True,USA,2,8
Perfect Serum,106.05,4.2,1315,Unisex,False,Italy,3,4
Divine Primer,105.06,1.0,9063,Male,False,Italy,2,4
Ultra Contour,39.77,4.5,8736,Unisex,True,Germany,3,3
Magic Face Oil,30.27,2.2,3226,Male,False,USA,2,8
Magic Face Oil,40.18,1.9,5040,Unisex,True,Italy,3,4
Super Highlighter,46.39,1.9,433,Male,False,Germany,2,3
Magic Powder,82.07,4.9,7012,Male,True,Japan,2,5
Ultra Blush,63.5,1.8,874,Male,False,USA,2,8
Ultra Makeup Remover,19.79,3.9,6795,Unisex,True,France,3,2
Magic Moisturizer,57.6,3.0,2049,Female,True,UK,1,7
Magic BB Cream,112.82,4.3,9788,Female,True,USA,1,8
Divine Primer,29.58,2.9,5784,Female,False,UK,1,7
Super Mascara,24.81,1.1,7962,Male,True,UK,2,7
Perfect Bronzer,90.5,1.4,7846,Male,True,Germany,2,3
Magic Contour,54.51,2.7,4537,Female,False,Australia,1,1
Super Exfoliator,47.16,3.2,1940,Unisex,False,Japan,3,5
Perfect Blush,143.96,1.6,8224,Male,True,Germany,2,3
Divine Concealer,69.64,1.6,6472,Male,False,Australia,2,1
Divine Lip Gloss,23.33,1.5,7538,Male,False,Italy,2,4
Perfect Contour,77.2,1.4,8715,Male,False,South Korea,2,6
Divine Foundation,18.82,4.7,1641,Male,False,South Korea,2,6
Divine Lip Gloss,148.81,1.1,3524,Female,True,UK,1,7
Perfect Primer,62.42,4.7,3777,Male,False,South Korea,2,6
Magic Powder,72.64,2.9,5395,Female,True,France,1,2
Ultra Makeup Remover,149.86,1.6,7909,Male,True,South Korea,2,6
Divine Foundation,76.37,3.5,3810,Male,True,South Korea,2,6
Magic Primer,76.86,2.2,8913,Male,True,USA,2,8
Magic Cleanser,137.31,2.3,9436,Male,False,Italy,2,4
Magic Powder,113.99,4.3,1690,Female,True,Italy,1,4
Magic BB Cream,75.54,2.9,2538,Male,True,Germany,2,3
Magic Makeup Remover,13.44,2.8,5044,Female,False,Germany,1,3
Magic Face Oil,11.26,4.9,1163,Male,False,USA,2,8
Super Eyeliner,64.27,3.4,9056,Unisex,False,Japan,3,5
Divine Lip Gloss,35.75,4.0,2606,Unisex,False,Italy,3,4
Super Exfoliator,73.32,3.4,9799,Male,False,Australia,2,1
Ultra Exfoliator,88.01,1.4,3196,Male,True,Italy,2,4
Divine Powder,115.5,1.6,3197,Male,False,France,2,2
Ultra Eyeliner,120.58,2.2,7409,Female,True,Japan,1,5
Perfect Exfoliator,49.4,1.4,5625,Unisex,True,UK,3,7
Perfect Highlighter,69.13,2.6,7257,Unisex,False,France,3,2
Ultra Powder,42.2,2.3,7221,Male,True,Italy,2,4
Ultra Concealer,117.81,1.7,6805,Male,False,France,2,2
Super Bronzer,124.51,5.0,1773,Male,True,Germany,2,3
Magic Serum,102.05,3.7,7025,Male,False,USA,2,8
Ultra Lipstick,10.27,4.5,9205,Female,False,Japan,1,5
Magic Face Mask,21.43,4.6,2428,Unisex,True,Australia,3,1
Divine Bronzer,48.44,1.7,6302,Unisex,True,Australia,3,1
Perfect CC Cream,89.65,2.1,9738,Unisex,False,Germany,3,3
Super Contour,96.86,3.5,4800,Male,True,Japan,2,5
Divine Foundation,144.3,2.4,5178,Unisex,False,Germany,3,3
Super Blush,29.52,1.9,2484,Female,False,South Korea,1,6
Ultra Lipstick,107.84,4.1,4867,Unisex,False,Japan,3,5
Ultra Exfoliator,67.08,4.6,8899,Unisex,True,Japan,3,5
Ultra Makeup Remover,131.34,3.1,3719,Unisex,False,Japan,3,5
Perfect Eyeliner,62.01,2.3,2562,Male,True,USA,2,8
Divine Lip Gloss,134.82,2.9,5719,Unisex,True,Germany,3,3
Magic Serum,16.41,2.4,7507,Female,False,USA,1,8
Super Eye Shadow,90.94,3.0,5557,Female,True,UK,1,7
Ultra Eye Shadow,58.18,2.2,6007,Unisex,False,Australia,3,1
Super Blush,141.81,3.7,6101,Female,True,Japan,1,5
Perfect Lip Gloss,119.07,4.6,4722,Unisex,False,Germany,3,3
Perfect Serum,70.48,4.6,3353,Male,False,France,2,2
Super CC Cream,62.37,3.2,641,Male,True,Australia,2,1
Divine Exfoliator,106.45,2.8,6727,Female,True,Italy,1,4
Divine Makeup Remover,52.9,3.2,2168,Male,False,Australia,2,1
Ultra Blush,38.88,1.5,1451,Male,False,Australia,2,1
Magic CC Cream,110.84,2.8,9438,Female,False,USA,1,8
Divine Makeup Remover,72.01,1.5,6032,Unisex,False,France,3,2
Super Highlighter,143.56,1.4,5387,Male,True,France,2,2
